year,population
1995,15456762.916666666
1996,15520296.333333334
1997,15603252.916666666
1998,15698375.75
1999,15803064.333333334
2000,15915362.416666666
2001,16037848.666666666
2002,16143510.583333334
2003,16220037.083333334
2004,16273704.166666666
2005,16315452.416666666
2006,16339788.5
2007,16376095.666666666
2008,16436769
2009,16522096.25
2010,16608685.833333334
2011,16689415.333333334
2012,16749973.083333334
2013,16797746.083333332
2014,16860237.583333332
2015,16927823.666666668
2016,17022094.583333332
2017,17122216.5
2018,17219949.916666668
2019,17335583.083333332
2020,17435574.416666668
2021,17518478.25
2022,17697922.583333332
2023,17870298
2024,17949491
